"","Transaction","Menu","Class"
"35409",34740,"Aburi Kaisen Chirashi KM","Dinner KM"
"35410",34740,"Hotate Salmon Unagi Chirashi","Chirashi"
"35411",34741,"Unagi Yakiniku KM","Dinner KM"
"35412",34742,"Premium Malts 380ml","Beer"
"35413",34742,"[DS]Mt Pork Nabe","Nabe"
"35414",34742,"Canadian Tonkatsu","MeatVeg"
"35415",34742,"Tako Red Ginger Chigiri Age","Appetizer"
"35416",34743,"Salmon Sashimi","Sashimi"
"35417",34743,"[8pc]Avo Soft Shell","Sushi Roll"
"35418",34743,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"35419",34743,"[SD]Saba Shio & Pork Toji","Washoku Set"
"35420",34743,"Tokusen Tendon","RiceNoodle"
"35421",34743,"[DS]Kaisen Mix Nabe","Nabe"
"35422",34743,"Hot Sake 120ml","Sake"
"35423",34743,"Hamachi Kama Yaki","Seafood"
"35424",34743,"[8pc]Pink Dragon Roll","Sushi Roll"
"35425",34744,"[DS]Salmon Belly Nabe","Nabe"
"35426",34744,"[SD]Premium Seafood KM","Dinner KM"
"35427",34744,"[SD]Sangenton Pork Steak Set","Steak Set"
"35428",34744,"[SD]Hotate Sal Una Chirashi","Sushi Set"
"35429",34744,"[SD]Salmon & Tori KM","Dinner KM"
"35430",34744,"[DS]Beef Nabe","Nabe"
"35431",34745,"[SD]Premium Seafood KM","Dinner KM"
"35432",34745,"[SD]Yakiniku KM","Dinner KM"
"35433",34745,"[SD]Salmon & Tori KM","Dinner KM"
"35434",34746,"[SD]Salmon & Tori KM","Dinner KM"
"35435",34746,"Unagi Salmon Chirashi","Chirashi"
"35436",34746,"[SD]Saba Shio & Pork Toji","Washoku Set"
"35437",34746,"Pork & Seafood Okonomiyaki","MeatVeg"
"35438",34746,"[8pc]Crispy Shrimp Mango Roll","Sushi Roll"
"35439",34746,"[SD]Saba Salmon Teriyaki Set","Steak Set"
"35440",34746,"Apple Beer","Beer"
"35441",34746,"Ringo Float","Promo"
"35442",34746,"[SD]Deluxe Sushi Set","Sushi Set"
"35443",34747,"[3p]Sashimi 7K","Sashimi"
"35444",34747,"Chawanmushi","Appetizer"
"35445",34747,"[8pc]Sp Aburi Salmon Roll","Sushi Roll"
"35446",34747,"Agedashi Tofu","Appetizer"
"35447",34747,"Salmon Belly Shioyaki","Seafood"
"35448",34748,"Nasu Ebi Dengaku","Appetizer"
"35449",34748,"SUN Style Fish & Chips","Seafood"
"35450",34748,"[DS]Premium Kaisen Nabe","Nabe"
"35451",34748,"Aburi Salmon Carpaccio","Appetizer"
"35452",34749,"Mixed Roll Sushi","Sushi Roll"
"35453",34749,"Canadian Tonkatsu","MeatVeg"
"35454",34749,"Aus Wagyu Kalbi Yaki","MeatVeg"
"35455",34750,"Kakuni Mentaiko KM","Dinner KM"
"35456",34750,"Unagi Yakiniku KM","Dinner KM"
"35457",34750,"Salmon & Tori KM","Dinner KM"
"35458",34751,"[SD]Seafood Mix KM","Dinner KM"
"35459",34751,"[SD]Unagi & Salmon Chirashi","Sushi Set"
"35460",34751,"[DS]Kaisen Mix Nabe","Nabe"
"35461",34751,"Kaisen Chawanmushi","Appetizer"
"35462",34751,"[4pc]Avo Soft Shell","Sushi Roll"
"35463",34751,"Pork & Seafood Okonomiyaki","MeatVeg"
"35464",34751,"Surume Ika Teriyaki","Seafood"
"35465",34751,"Salmon Belly Teriyaki","Seafood"
"35466",34751,"SUN Tofu Cheesecake","Parfait"
"35467",34751,"Zaru Soba","RiceNoodle"
"35468",34751,"[2p]Salmon Sashimi 3K","Sashimi"
"35469",34751,"[SD]Unagi & Salmon Chirashi","Sushi Set"
"35470",34751,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"35471",34751,"[SD]Aburi Kaisen Chirashi KM","Dinner KM"
"35472",34752,"[SD]Yakiniku KM","Dinner KM"
"35473",34752,"[SD]Salmon & Tori KM","Dinner KM"
"35474",34752,"[SD]Aus Wagyu Don & Una Yana","Washoku Set"
"35475",34752,"[SD]Unagi Yakiniku KM","Dinner KM"
"35476",34752,"[SD]Tori & Unagi KM","Dinner KM"
"35477",34752,"[SD]Seafood Mix KM","Dinner KM"
"35478",34752,"Yuzu Highball","Highball"
"35479",34752,"Ringo Float","Promo"
"35480",34752,"SUN Tofu Cheesecake","Parfait"
"35481",34752,"Dessert Trio","Parfait"
"35482",34753,"SUN Tofu Cheesecake","Parfait"
"35483",34753,"Kurogoma Pudding","Parfait"
"35484",34754,"Ginger Tea","Non-Alc"
"35485",34754,"Lime Soda","Mocktail"
"35486",34754,"Pork & Seafood Okonomiyaki","MeatVeg"
"35487",34754,"Temari Sushi","Sushi"
"35488",34754,"[2p]Sashimi 3K","Sashimi"
"35489",34754,"Salmon Avocado Salad","Appetizer"
"35490",34754,"[SD]Temari Sushi & Jp Wagyu","Prem Dinner"
"35491",34754,"Peach Oolong","Mocktail"
"35492",34755,"[SD]Niku Atsu Hotate Unagi KM","Dinner KM"
"35493",34755,"Mixed Roll Sushi","Sushi Roll"
"35494",34756,"Salmon Sashimi","Sashimi"
"35495",34756,"Mekajiki Sashimi","Sashimi"
"35496",34756,"[SD]SUN Chirashi Set","Sushi Set"
"35497",34756,"[SD]Aburi Bara Chirashi Set","Sushi Set"
"35498",34757,"Maguro Rare Grill","Appetizer"
"35499",34757,"Foie Gras Millefeuille","Appetizer"
"35500",34757,"[SD]Steak Moriawase","Steak Set"
"35501",34758,"[SD]Unagi Yakiniku KM","Dinner KM"
"35502",34759,"Kids Sushi Udon Meal","Kids"
"35503",34759,"[SD]Premium Seafood KM","Dinner KM"
"35504",34760,"[4pc]Nixon Roll","Sushi Roll"
"35505",34760,"Mixed Roll Sushi","Sushi Roll"
"35506",34760,"[2p]Sashimi 3K","Sashimi"
"35507",34760,"Tai & Hotate Shabu Nabe","Seafood"
"35508",34760,"Surume Ika Teriyaki","Seafood"
"35509",34760,"[SD]Aus Sirloin Steak","Steak Set"
"35510",34761,"[SD]Una Don & Pork Yanagawa","Washoku Set"
"35511",34761,"Seafood Mix KM","Dinner KM"
"35512",34761,"Kaisen Chawanmushi","Appetizer"
"35513",34761,"[SD]Unagi Yakiniku KM","Dinner KM"
"35514",34762,"[SD]Niku Atsu Hotate Unagi KM","Dinner KM"
"35515",34762,"Mixed Roll Sushi","Sushi Roll"
"35516",34762,"Yuzu Highball","Highball"
"35517",34762,"Triple Citrus Highball","Highball"
"35518",34763,"Niku Atsu Hotate Unagi KM","Dinner KM"
"35519",34763,"Nama Bara Chirashi","Chirashi"
"35520",34763,"Salmon Sashimi","Sashimi"
"35521",34763,"Edamame","Appetizer"
"35522",34763,"Gyu Tan Kosho Yaki","MeatVeg"
"35523",34763,"[SD]Japanese Wagyu Set","Steak Set"
"35524",34764,"Salmon Sashimi","Sashimi"
"35525",34764,"Tempura Udon","RiceNoodle"
"35526",34764,"Nabeyaki Udon","RiceNoodle"
"35527",34764,"Dashimaki Tamago","Appetizer"
"35528",34764,"Gyu Tan Kosho Yaki","MeatVeg"
"35529",34764,"Unagi Sushi","Sushi"
"35530",34764,"Foie Gras Sushi","Sushi"
"35531",34764,"Aburi Cheese Salmon","Sushi"
"35532",34765,"Aus Wagyu Harami Don","RiceNoodle"
"35533",34765,"[4pc]Crispy Shrimp Mango Roll","Sushi Roll"
"35534",34765,"[SD]Seafood Mix KM","Dinner KM"
"35535",34766,"Tori & Unagi KM","Dinner KM"
"35536",34766,"[8pc]Avo Soft Shell","Sushi Roll"
"35537",34767,"Hotate Enoki Beef Roll","MeatVeg"
"35538",34767,"Salmon Belly Teriyaki","Seafood"
"35539",34768,"[SL]Nabe Udon & Roll","Nabe Lunch"
"35540",34768,"[KL]Gindara Saikyo Kobachi","Kobachi Lunch"
